Afghanistan;32526562;48.43075023;26.703;32;83;8.26;5.3;27.8;23.87384987;51.47267914;62.1;70.3;87.4;94.6
Lesotho;2135022;50.50285196;27.312;10.1546;46.93103524;16.0717077;8.1;54.18;88.28749847;70.0667572;62.6;75.3;83.1;97.1
Liberia;4503438;49.59861777;49.701;1.2;18.908807;5.903867603;2.3;36.48;32.81483078;62.42057037;48.2;57.2;64.8;74.7
Libya;6278438;49.72085414;78.554;100;100;19.01607978;30.2;;85.81128693;96.99825287;10.2;12.7;12;14.7
Liechtenstein;37531;51.13606121;14.289;100;100;96.6411951;103.7;;;;3.376412962;4.065028067;4.022382622;4.875444827
Lithuania;2910199;53.95922395;66.508;100;100;71.378;75.8;35.15;99.84133148;99.80136871;3;3.5;4.7;5.6
Luxembourg;569676;49.81308741;90.16;100;100;97.3341;279.3;34.79;;;1.3;1.6;1.7;2
Macao SAR, China;587606;51.8366048;100;72.434112;90.54264;77.60013186;305.5;;94.59892273;98.01558685;12.72349182;15.60466772;15.4095145;18.68937864
Macedonia, FYR;2078453;50.2201878;57.104;100;100;70.3802;38.1;44.05;96.87072754;98.83725739;4.5;5.1;5.1;5.8
Madagascar;24235390;50.14538243;35.105;8.1;60.7;4.17397219;4.0;42.65;62.6137886;66.74227142;32.3;39.3;45.3;53.6
Malawi;17215232;50.08454722;16.272;2;37.1;9.298148347;3.2;46.12;59.03110886;73.01811981;39.6;47;59.5;68.3
Malaysia;30331007;48.39832622;74.705;100;100;71.06406781;73.8;46.26;93.1064682;96.19606018;5.3;6.6;6.3;7.7
Maldives;409163;49.8519209;45.536;100;100;54.46195515;35.0;38.37;98.85507965;99.79553223;6.6;8.1;7.7;9.4
Mali;17599694;49.51792912;39.916;11.9;50.41062147;10.33692498;5.6;33.04;22.1957798;45.06591034;68.2;80.4;108.4;120.4
Malta;431333;50.20039649;95.407;100;100;76.184;91.3;;95.59014893;92.52533722;4.7;5.5;5.9;6.9
Marshall Islands;52993;49.22507466;72.684;45.4546;64.68564658;19.2824418;10.7;;98.20298004;98.32509613;25.9;33;31.9;39.9
Mauritania;4067564;49.68042298;59.859;4.3546;46.01041133;15.19912669;10.7;32.42;41.6115303;62.62728882;58.7;73.4;79.5;95.8
Mauritius;1262605;50.60987487;39.671;100;100;50.13931848;55.0;35.84;88.45311737;92.86595154;10.4;13.2;12;15
Mexico;127017224;50.2575753;79.246;97.2;99.62388368;57.43104299;47.3;48.21;93.5134201;95.60925293;10.2;12.4;11.9;14.4
Micronesia, Fed. Sts.;104460;48.77465058;22.424;45.4546;100;31.50108128;9.6;42.46;;;25.4;31.6;31;38.2
Moldova;3554150;51.93146939;44.995;100;100;49.83693954;13.8;26.83;99.10359192;99.40049744;12;15.2;14;17.6
Monaco;37731;51.13606121;100;100;100;93.36330202;81.6;;;;2.5;3.1;3.1;3.9
Mongolia;2959134;50.50041668;72.04;69.8546;98.56134976;21.43603111;33.5;32.04;98.55175781;98.17665863;15.1;22.8;17.9;26.6
Montenegro;622388;50.58798525;64.026;100;100;64.56499314;42.4;31.93;98.02364349;99.44857025;4.1;4.6;4.4;4.9
Morocco;34377511;50.58029652;60.195;100;100;57.08;21.5;40.72;62.04611969;81.88314056;21;26.2;24.7;30.3
Mozambique;27977863;51.15352448;32.214;5.4;54.5;9;3.3;45.58;45.52547073;73.4274292;52.7;60.5;73.9;82.9
Myanmar;53897154;51.13845158;34.098;31.1546;94.9920792;21.8;14.4;;91.15045166;95.16603851;34.9;43.8;44.9;54.9
Namibia;2458830;51.32693191;46.66;17.3546;94.1133054;22.30701479;28.5;60.97;90.64672089;91.01055908;29.4;36.1;41.2;49.4
Nauru;10222;49.22507466;100;38.94387763;71.64224189;29.78284146;20.1;;;;25.8;32.1;31.6;38.9
Nepal;28513700;51.54444355;18.615;71.56;97;17.58161801;6.7;32.84;54.7505188;75.80977631;27;31.7;33.6;37.9
Netherlands;16936520;50.36536933;90.496;100;100;93.0965;132.4;27.99;;;2.9;3.5;3.4;4.2
New Caledonia;273000;49.55685282;70.21;45.4546;67.9737214;74.00175279;103.7;;96.53359985;97.33907318;20.32640857;24.12063347;24.33545343;28.84932794
New Zealand;4595700;51.12928578;86.284;100;100;88.22288882;101.3;;;;4.2;5.2;5.1;6.2
Nicaragua;6082032;50.70770756;58.779;42.7;100;19.7042915;14.2;47.05;82.64549255;82.28678131;16.6;20.9;19.5;24.5
Niger;19899120;49.60000744;18.732;5.2;61.8;2.22016535;2.6;33.99;11.01572037;27.28035927;52.1;61.8;90.9;99.8
Nigeria;182201962;49.07357254;47.776;34.4;83.6;47.44255029;16.4;42.97;49.68019867;69.18882751;62.9;75.7;102.3;114.9
Northern Mariana Islands;55070;49.22507466;89.237;100;71.64224189;29.78284146;103.7;;;;20.32640857;24.12063347;24.33545343;28.84932794
Norway;5195921;49.62923388;80.473;100;100;96.8103;167.7;25.9;;;1.8;2.2;2.3;2.9
Oman;4490541;33.66886083;77.641;92.8546;99.42678922;74.17416597;109.5;;89.66204834;95.7878418;8.9;10.9;10.4;12.6
Pakistan;188924874;48.62915563;38.758;90.5;99.8;18;13.7;30.69;42.72716904;69.57022095;61;70.3;77.4;84.6
Palau;21291;49.22507466;87.071;45.4546;61.80410203;29.78284146;42.0;;99.55269623;99.4981842;12.5;15.8;14.6;18.2
Panama;3929141;49.8684318;66.592;79.7546;94.42910563;51.20542499;60.9;50.7;94.42170715;95.65963745;12.9;16.2;15.1;18.8
Papua New Guinea;7619321;48.98773788;13.005;10.3546;72.01435805;7.9;7.9;43.88;61.77299118;65.060112;40.3;48.4;52.5;61.8
Paraguay;6639123;49.25344808;59.666;96.3;99.34313562;44.38159692;25.2;51.67;94.95807648;96.09921265;15.6;19.2;18.3;22.5
Peru;31376670;50.04852969;78.609;72.9;98.3;40.9;34.3;44.14;91.54062653;97.26257324;11.8;14.4;15.2;18.4
Philippines;100699395;49.54035623;44.373;81.5;93.71418802;40.7;20.2;43.04;97.03275299;96.20249939;19.4;24.9;24.7;31.2
Poland;37999494;51.63734946;60.539;100;100;67.997;71.9;32.08;99.66921234;99.91629028;4.1;4.8;4.7;5.6
Portugal;10348648;52.65089587;63.468;100;100;68.6329;80.0;36.04;94.13273621;96.90553284;2.7;3.2;3.3;3.9
Puerto Rico;3474182;51.92876485;93.6;79.7546;90.99238041;79.46876883;96.0;;93.81005096;92.79125214;14.76941176;18.68646973;17.25122343;21.75620251
Qatar;2235355;27.36191791;99.244;92.8546;97.7521626;92.88482645;387.8;;97.51200867;97.8331604;6.2;7.4;7.3;8.7
Romania;19832389;51.56158034;54.564;100;100;55.7632;58.6;27.45;98.45471191;99.08576202;8.7;10.7;9.9;12.2
Russian Federation;144096812;53.5442083;74.008;100;100;73.41;67.0;41.59;99.7129364;99.72750854;7.2;9.1;8.4;10.6
Rwanda;11609666;52.1126103;28.811;7.7;61.5;18;4.8;50.44;68.26931763;74.67559052;27.8;34.2;37.8;45.4
Samoa;193228;48.43190428;19.098;92.7546;100;25.40700977;16.3;42.69;99.12478638;98.91145325;13.6;16.4;15.8;19
San Marino;31781;51.13606121;94.19;100;100;79.62581461;103.7;;;;2.3;2.8;2.6;3.1
Sao Tome and Principe;190344;50.21697558;65.092;46.9546;68.29007397;25.8222488;8.8;30.82;87.960289;95.63748169;30.8;38.2;43;51.5
Saudi Arabia;31540372;43.45054015;83.13;92.8546;98.72546643;69.6162358;146.7;;91.84068298;96.94950867;11.6;13.4;13.6;15.5
Senegal;15129273;50.89863208;43.721;26.6;87.8;21.69026413;6.6;40.29;43.80036163;68.4726181;37.8;46.5;44.3;54
Serbia;7098247;51.19580611;55.553;100;100;65.3170254;37.6;29.06;96.99178314;99.08345032;5.2;6.5;6;7.3
Seychelles;92900;49.34643572;53.887;17.2546;100;58.11869757;74.9;46.82;95.84784698;94.80518341;10.7;12.6;12.4;14.6
Sierra Leone;6453184;50.51684564;39.942;1.2;46.5;2.5;4.3;33.99;38.18144989;59.0377388;80.5;93.2;113.1;127.3
Singapore;5535002;50.65732886;100;99;100;82.103;233.9;;94.98401642;98.63719177;1.9;2.3;2.5;2.9
Sint Maarten (Dutch part);38817;51.13606121;100;100;100;79.62581461;99.5;;;;3.376412962;4.065028067;4.022382622;4.875444827
Slovak Republic;5424050;51.52948865;53.598;100;100;85.01951406;79.7;26.12;;;5.2;6.4;6.6;8
Slovenia;2063768;50.43215902;49.65;100;100;73.0987;85.3;25.59;99.69795227;99.73209381;2;2.3;2.3;2.8
Solomon Islands;583591;49.22419982;22.329;12.5546;61.57147808;10.00046498;6.0;46.1;;;21.4;25.7;25.5;30.7
Somalia;10787104;50.23745947;39.551;17.2546;57.67475012;1.76;10.2;;;;78.6;91.3;130.2;143.4
South Africa;54956920;50.82206581;64.801;66.8546;96.56165225;51.91911572;36.2;63.38;93.42893219;95.83280945;28.8;36.2;37.3;46.5
South Sudan;12339812;49.92442348;18.804;3.4546;12.26513578;17.92978723;5.1;46.34;25.39306068;38.64849091;54.9;65.4;87.1;97.5
Spain;46418269;50.94803207;79.579;100;100;78.6896;94.6;35.89;97.4969635;98.76702118;3.2;3.8;3.8;4.4
Sri Lanka;20966000;51.82592719;18.356;85.9546;100;29.98873755;32.2;39.16;91.70864868;93.6166687;7.5;9.2;8.8;10.7
St. Kitts and Nevis;55572;50.36927119;32.047;79.7546;100;75.7;68.7;;;;7.6;9.1;9.6;11.4
St. Lucia;184999;50.9408159;18.504;79.7546;100;52.35;30.0;42.58;;;11.4;13.9;12.8;15.6
St. Martin (French part);31754;51.13606121;74.79972272;79.7546;100;79.62581461;103.7;;;;3.376412962;4.065028067;4.022382622;4.875444827
St. Vincent and the Grenadines;109462;49.54230692;50.55;31.7546;100;51.77;30.5;;;;15;18.1;16.5;20
Sudan;40234882;49.8022164;33.806;17.7546;62.10786959;26.61492855;12.0;35.39;53.12355042;64.1222229;42.8;52;65.1;74.8
Suriname;542975;49.89861412;66.043;100;100;42.76382778;45.8;57.61;94.96794891;96.11791229;16.6;21.3;18.7;23.8
Swaziland;1286970;50.5472544;21.308;24.4546;100;30.38270066;23.7;51.45;87.49803925;87.44111633;39.8;48.8;55.9;65.2
Sweden;9798871;50.02961319;85.815;100;100;90.6102;128.0;27.32;;;2.2;2.6;2.7;3.3
Switzerland;8286976;50.48160167;73.912;100;100;87.97;167.4;31.64;;;3.1;3.6;3.6;4.3
Syrian Arab Republic;18502413;49.37682453;57.656;81.0546;100;29.97979724;45.1;35.8;80.72493744;91.82498169;9.9;12.2;11.6;14.1
Tajikistan;8481855;49.35257677;26.782;100;99.8;18.98;7.8;30.76;99.73657227;99.82537842;33.9;42.9;39.7;49.7
Tanzania;53470420;50.30106178;31.608;3.6;46.4;5.355144064;7.3;37.78;76.08978271;84.76193237;32.3;37.8;45;52.1
Thailand;67959359;50.7135007;50.374;99.7546;100;39.31612674;44.8;37.85;92.59844208;95.43158722;9.1;11.9;10.7;13.8
Timor-Leste;1245015;49.22427654;32.77;26.7546;78.29790722;13.4;6.3;31.56;59.50658035;68.52423859;40.8;48.3;48.2;56.7
Togo;7304578;50.59132779;39.964;8.8546;67.56590578;7.12;4.0;46.02;55.30268097;78.2931366;46.7;57.6;72.1;84.4
Tonga;106170;49.85494961;23.712;82.7546;100;44.99951883;15.2;38.1;99.44522858;99.34896088;16.3;12.4;18.4;15
Trinidad and Tobago;1360088;50.65870738;8.445;99;100;69.19847061;91.3;;98.70233154;99.24793243;16.2;20;18.2;22.4
Tunisia;11107800;50.58374448;66.842;100;100;48.51983599;31.8;35.81;72.80232239;89.6815033;10.9;13.3;12.7;15.3
Turkey;78665830;50.83689831;73.397;100;100;53.74497914;53.7;40.18;92.90122223;98.64672852;10.6;12.5;12.4;14.6
Turkmenistan;5373502;50.85688998;50.037;100;100;14.99677482;45.3;;99.62986755;99.7598114;36.8;50.3;43.9;58.5
Turks and Caicos Islands;34339;50.36927119;92.186;79.7546;91.57612036;51.91699952;43.0;;;;14.76941176;18.68646973;17.25122343;21.75620251
Tuvalu;9916;49.22507466;59.717;31.7546;56.8812386;42.7;10.8;41.1;;;20.1;25.3;24.6;29.5
Uganda;39032383;50.02309236;16.101;8.054601;71.2293404;19.22109963;5.1;41.01;66.78479767;80.95406342;33.7;41.6;49.1;59.9
Ukraine;45198200;53.6866303;69.695;100;100;49.26;21.8;24.09;99.73970795;99.79344177;6.9;8.5;8.1;9.9
United Arab Emirates;9156963;26.74147531;85.541;92.8546;98.57802417;91.24340578;191.7;;95.07633972;92.35662079;5.2;6.4;6.1;7.5
United Kingdom;65138232;50.70973538;82.592;100;100;92.0003;113.6;32.57;;;3.2;3.9;3.8;4.7
United States;321418820;50.43292656;81.617;100;100;74.55;153.7;41.06;;;5;6.1;5.9;7.1
Uruguay;3431555;51.73036714;95.311;95.1;99.849824;64.6;58.2;41.6;98.8039093;98.04225159;7.8;9.5;9.1;11.1
Uzbekistan;31299500;50.82725709;36.365;100;100;42.8;16.7;35.27;99.99582672;99.99450684;29.2;38.4;33.9;44.1
Vanuatu;264652;49.34668924;26.128;17.7546;54.72496455;22.35140458;8.2;37.19;83.67617798;86.45131683;21.1;25;25.2;29.8
Venezuela, RB;31108083;50.21486538;88.99;100;100;61.86924809;48.4;46.94;95.70818329;95.08133698;11.2;14.4;13.2;16.6
Vietnam;91703800;50.53434384;33.593;97.6546;100;52.72;16.5;37.59;92.84365845;96.2776413;15;19.6;18.7;24.6
Virgin Islands (U.S.);103574;52.36285292;95.335;79.7546;91.39085046;54.8391373;43.0;;;;14.76941176;18.68646973;17.25122343;21.75620251
West Bank and Gaza;4422143;49.3034757;75.252;92.8546;99.34946024;57.42419241;13.8;34.46;94.80767059;98.49466705;16.6;19.4;19.3;22.9
Yemen, Rep.;26832215;49.48876938;34.606;33.4546;78.89124885;25.0995144;7.7;35.9;54.85063171;84.97328186;30.4;37.1;38.3;45.5
Zambia;16211767;50.07547913;40.922;5.7546;46.93028314;21;10.5;55.62;80.56697083;89.74845123;39.2;47.2;58.9;68.9
Zimbabwe;15602751;50.72947713;32.376;16.0546;78.4611749;16.36;4.9;43.15;85.28513336;88.54821777;41.2;51.8;64.9;76.1